Name,Ubicación,Unidades,Players,Age,Language
DARK MATTER,M4,1,2--4,8+,Español
DARK MATTER,M4,1,2--4,8+,Español/Inglés
DARK TALES,Q3,1,2--4,14+,Español
DARK TALES CENICIENTA,Q3,1,2--4,14+,Español
DARK TALES: EXPANSIÓN 1 - BLANCANIEVES,Q3,1,2--4,14+,Español
DARK TALES: EXPANSIÓN 2 - CAPERUCITA ROJA,Q3,1,2--4,14+,Español
DE VULGARI ELOQUENTIA,H5,1,2--5,14+,Español
DEAD OF WINTER,D2,1,2--5,14+,Español
DEATH OVER THE KINGDOM,R8,1,3--16,10+,Español/Inglés
DEEP SEA ADVENTURES,R5,1,2--6,8+,Inglés
DEJA-VU,M4,1,2--6,8+,Español
DELUGIO,I4,1,2--6,6+,Español
DEMOCRACIA: EL JUEGO,EPR,1,2--6,10+,Español
DESCUBRO LOS ANIMALES,X2,1,1+,1+,Español/Inglés
DESTROY BCN,F1,1,2--4,8+,Independiente
DIAMANT,R9,1,3--8,8+,Español/Francés
DICCIONPINTA,T00,1,3--16,12+,Español
DICE FORGE,M5,1,2--4,10+,Español/CATALAN/PORTUGUES
DIFFERENCES,P5,1,2--6,6+,Independiente
DINORACE,W6,1,2--4,6+,español
DIRECTOR DE CAMPAÑA 2008,C1,1,2,10+,Español
DIXIT,J1,1,3--6,6+,Independiente
DIXIT 2 QUEST,J1,2,3--6,8+,Independiente
DIXIT 3 JOURNEY,J1,2,3--6,8+,Independiente
DIXIT 4 ORIGINS,J1,1,3--6,8+,Independiente
DIXIT 5 DAYDREAMS,J1,2,3--6,8+,Independiente
DIXIT 6 MEMORIES,J1,1,3--6,8+,Independiente
DIXIT 7 REVELATIONS,J1,1,3--6,8+,Independiente
DIXIT ODYSSEY,J1,1,3--12,8+,Independiente
DOBBLE,Q4,2,2--8,6+,Español
DOBBLE FORMAS Y NÚMEROS,Q4,1,2--6,3+,Español
DOBBLE KIDS,Q4,1,2--8,6+,Español
DOBBLE STARWARS,Q4,1,2--8,6+,Español
"DOGFIGHT, I GUERRA MUNDIAL",Q3,1,2,8+,Español
DOGGY BAG,N5,1,2--6,8+,Español
DOLORES,Q2,1,2--4,10+,Español
DOMADORES DE BICHOS,R2,1,3--6,8+,Independiente
DOMINION,M1,2,2--4,13+,Español
DOMINION: COMARCAS,M1,1,2--4,8+,Español
DOMINION: CORNUCOPIA,N1,1,2--4,8+,Español
DOMINION: EDAD OSCURA,M1,1,2--4,8+,Español
DOMINION: INTRIGA,N1,1,2--4,8+,Español
DOMINO,CLASICOS 4,1,1+,6+,Independiente
DORY MEMO EDUCATIVO 21X21,X2,1,1+,4+,Independiente
DRAGONES Y GALLINAS,N5,2,2--5,8+,Español
DRAGONS,R7,1,2--4,8+,Independiente
DRAKO,L4,1,2,8+,Español/PORTUGUES
DRIPDROP,V9,1,2--4,3+,Independiente
DUELO GAME,EPP,1,2--5,8+,Español/Inglés
DUNGEON RAIDERS,R8,1,3--5,8+,Español
DUNGEON ROLL,Q7,1,1--4,8+,Español
DUPLIK,Q6,1,3--10,12+,Español
EL CRISTAL OSCURO,C0,1,2--4,6+,Español
EL CUCO ESTRENA NIDO,W7,2,2--5,4+,Independiente
EL DESIERTO PROHIBIDO: LA CIUDAD BAJO LAS DUNAS,K2,2,2--5,10+,Español
EL ESPÍA (QUE SE PERDIÓ),M2,2,3--8,12+,Español
EL FAVOR DEL FARAON,C3,1,2--4,13+,Español
EL GRAN LIBRO DE LA LOCURA,I2,1,2--5,12+,Español
EL GRANDE (GL),A4,1,2--5,12+,Español
EL HOBBIT,R3,1,2--5,10+,Español
EL HOMBRE LOBO - EDICION DEFINITIVA,Q3,1,5--68,8+,Español
EL HOMBRE LOBO - EDICION DEFINITIVA ARTEFACTOS,Q3,1,5--40,13+,Español
EL JUEGO DE LAS RANAS,U6,1,2--4,4+,Español
EL LABERINTO MÁGICO,I5,1,2--4,6+,Español/Portugués
EL MERCADO DE LOS LADRONES,N4,1,3--5,10+,Español
EL MORTAL,R8,1,2--6,10+,Español
EL ORÁCULO DE DELFOS,G1,1,2--4,12+,Español
EL PACTO EXP HOMBRES LOBO CASTONEGRO,Q9,1,9--47,10+,Español
EL PADRINO,B3,1,2--5,14+,Español
EL PALE,P2,1,3--6,9-99+,Español
EL PORTAL DE MOLTHAR,R3,1,2--5,10+,Español
EL PRIMERO DE LA CLASE,V8,1,2+,10+,Español
EL PRINCIPITO: HAZME UN PLANETA,F2,1,2--5,8+,Independiente
EL SEÑOR DE LOS ANILLOS 2º ED,C2,1,2--5,13+,Español
EL SÉPTIMO HÉROE,Q2,1,3--5,10+,Español
EL SHERIFF DE NOTTINGHAM,E4,1,3--5,13+,Español
EL SÍMBOLO ARCANO,C4,2,1--8,13+,Español
EL SONETO,F2,1,2--4,12+,Español
EL TESORO DE ISLA TORTUGA,Q2,1,2--5,10+,Español/Inglés
EL ÚLTIMO BANQUETE,L3,1,6--25,10+,Español
EL VALLE DE LOS MERCADERES,N3,1,2--4,10+,Español
EMPORION,N4,1,2--4,12+,Independiente
EN BUSCA DEL IMPERIO COBRA,CLASICOS 2,1,2--4,8+,Español
EN TU CASA O DONDE SEA,Q2,1,4--7,18+,Español
ENCONTRAR Y ELIMINAR,V6,1,2,6+,Español
ENGLISH TROLLEY DATA BANK A FUN WAY INTO ENGLISH,O0,1,2--6,12+,Español/Ingles
ENSALADA DE BICHOS,R2,1,2--6,6+,Español/Portugués
ENTERN!,R7,1,2,10+,Español/Inglés
EPIC JUEGO DE CARTAS,R7,2,2--4,13+,Español
ÉRASE UNA VEZ 3º EDICIÓN,N5,1,2--4,4+,Español
ERIZOS A LA CARRERA,V8,1,3--5,6+,Español
ESCAPE THE ROOM: MISTERIO EN LA MANSIÓN DEL OBSERVATORIO,I3,1,3--8,10+,Español
ESCAPE THE ROOM 2: EL SECRETO DEL DOCTOR GRAVELY,I3,1,3--8,14+,Español
ESCONDITE EN LA ISLA JR,K5,1,1,6+,Español
ESCUELA DE PINGÜINOS,V1,1,2--4,6+,Español
ESPADA NEGRA JUEGO DE MESA,R3,1,2--8,14+,Español
ESPAÑA 20,C5,1,2,13+,Español
EUPHORIA,B5,1,2--6,13+,
EUREKA!,Q3,1,1--5,10+,Español
EVO,Q3,1,2--4,8+,Español
EXPANSIÓN HUIDA SILVER CITY (DENTRO DEL BÁSICO),D3,1,1--4,12+,Español/Inglés
EXPANSION SMALLWORLD UNDERGROUND 6 PLAYERS,K3,1,2--6,8+,Independiente
EXPLOIDING KITTENS,Q5,2,2--5,7+,Inglés
EXPLOIDING KITTENS NSFW EDITION,Q5,1,2--5,30+,Inglés
"EXPLORADORES, AVENTÚRATE EN LO DESCONOCIDO",M4,1,2,10+,Español/Portugués
EXPLORERS OF THE LOST VALLEY,R3,2,2--4,10+,Español/Inglés
FABULA REGNUM,M4,1,2--4,10+,Independiente
FAKES,Q7,1,3,12+,Independiente
FAMIGLIA,R5,1,2,10+,Español/Francés
FANTASIA S.A.,N4,1,2--5,12+,Español
FANTASMA BLITZ,V6,2,2--8,8+,Español/Portugués
FARAON,K5,1,2--4,6+,Español/PORTUGUES/ITALIANO
FAST FLIP,Q4,1,2--8,7+,Independiente
FAST FOOD FEAR,R8,2,2--6,8+,Español
FAUNA,I1,1,2--6,10+,Español
FEELINKS,K1,1,3--8,8+,Español
FELIX EL GATO ENCERRADO,Q5,1,3--5,8+,Español
FEMINISMOS REUNIDOS,O5,1,2--99,14+,Español
FIERCE NIGHT,EPP,1,2--99,18+,Español
FILM QUIZ,Q2,1,2--99,3+,Español
FINAL TOUCH,J3,1,2--4,8+,Español
FINCA,D5,1,2--4,10+,Independiente
FIREFLY,C4,1,1--5,13+,Español
FIREFLY: EXPASION PIRATAS Y CAZARRECOMPENSAS,C4,1,2--6,13+,Español
FISHING SERIES,X5,1,1+,3+,Inglés
FLAP FLAP,X3,1,2--4,5+,Independiente
FLICK EM UP! TIERRA DE FORAJIDOS,E4,1,2--10,7+,Independiente
FLUXX,R4,2,2--6,8+,Español
FLUXX CTHULHU,R4,1,2--6,14+,español
FLUXX ZOMBI,R4,1,2--6,8+,Español
FLYNN EL PIRATA,W8,2,2--5,5+,Independiente
FOR THE PEOPLE: LA GUERRA DE SUCESIÓN 1861-1865,A2,1,2,14+,Español
FOREST,R7,2,2--5,6+,Independiente
FORMULA D,G5,1,2--10,14+,Español
FROG MENÚ,Q7,1,2--4,8+,Español/Inglés
FUERZA DE DRAGON,W7,2,2--4,5+,Español
FUJI FLUSH,R5,2,3--8,7+,Español/Francés
FUNGI,Q3,2,2,10+,Español
GALAXIA LA CONQUISTA,L5,2,2--4,12+,Español
GALAXIA: EXPANSIÓN LA TORMENTA (DENTRO DEL BÁSICO),L5,1,2--4,12+,Español
GALAXIA: EXPANSION REBELDES CONTRA IMPERIO (DENTRO DEL BÁSICO),L5,1,2--4,12+,Español
GALEONES CAÑONES Y DOBLONES,K1,1,2--5,8+,Español
GALLETAS,L2,2,2--5,5+,Español
GAME OF LIVE JUNIOR,X6,1,2--4,5+,Español
GAME OF TRAINS,R3,1,2--4,8+,Español
GAME OF TROLLS,R5,1,8--25,10+,Español
GARDENS,F2,1,2--4,10+,Español
GEOPICNIC,U9,1,2--99,5+,Español/Inglés
GESTOS,W5,1,4+,8+,Español
