Name,Ubicación,Unidades,Players,Age
CONCEPT,J2,1,4--12,10+
CONECTOR APRENDO Inglés,V9,2,1+,7+
CONECTOR ASOCIO Y APRENDO,V9,1,1+,4+
CONECTOR JUNIOR FROZEN,EPR,1,1+,3+
CONECTOR JUNIOR PEPPA,S8,1,1+,3+
CONECTOR MUNDO ANIMAL,V9,1,1+,7+
CONQUISTA EL TRONO,U7,1,2--4,6+
CONTRAST,Q7,1,2--6,8+
COPÉRNICO,M3,1,1--5,10+
COPY OR NOT COPY,Q4,1,1--6,7+
CORTEX CHALLENGE,T8,1,2--6,9+
CORTEX GEO,T8,1,2--6,9+
CORTEX KIDS,T8,1,2--6,8+
CORTEX KIDS 2,T8,1,2--6,6+
COSMIC ENCOUNTERS,B1,1,3--5,13+
COSTA RICA,L3,1,2--5,8+
COUP: CIUDAD CORRUPTA,R8,1,2--10,10+
COVENANT,N3,1,3--5,10+
Covil: Los señores oscuros,C1,1,1--4,14+
Covil: maldad caótica,C1,1,1--4,14+
COYOTE,V8,1,3--6,10+
CRANIUM,O5,1,4--6,13+
CRANIUM HULLABALOO,V6,1,1--6,4+
CRAZY CLACK,J2,1,2--6,3+
CRAZY THERAPY,R5,1,6+,12+
CRISIS TOKYO,N4,1,2--5,14+
CRÓNICAS,M4,1,3--6,12+
CROWDFUNDING: EL JUEGO,N2,1,2--6,12+
CTHULHU DADOS,R7,4,2--6,10+
CTHULHU REALMS,N4,1,2--4,14+
CUBULUS,J4,1,2--3,8+
CUEVA DE TROLL,C4,1,2--4,10+
CULTURA FRIKI,O4,1,2--10,14+
CV: LA CARRERA DE LA VIDA,F1,1,2--4,10+
CYCLING PARTY,L5,1,2--6,10+
DADOS NINJA,Q3,1,2--5,9+
DADOS ZOMBIE,R2,2,2--99,10+
DADOS ZOMBIE 2: SESIÓN DOBLE ( dentro del basico ),R2,1,2--99,10+
DADOS ZOMBIE 3: AUTOBÚS ESCOLAR ( dentro del basico ),R2,1,2--99,10+
DAMAS (FICHAS),CLASICOS 1,1,2,
DARK MATTER,M4,2,2--4,8+
DARK TALES,Q3,1,2--4,14+
DARK TALES EXPANSION: CENICIENTA,Q3,1,2--4,14+
DARK TALES: EXPANSIÓN 1 - BLANCANIEVES,Q3,1,2--4,14+
DARK TALES: EXPANSIÓN 2 - CAPERUCITA ROJA,Q3,1,2--4,14+
DE VULGARI ELOQUENTIA,H5,1,2--5,14+
DEAD OF WINTER,D2,1,2--5,14+
DEATH OVER THE KINGDOM,R8,1,3--16,10+
DEEP SEA ADVENTURES,R7,1,2--6,8+
DEJA-VU,M4,1,2--6,8+
DELUGIO,I4,1,2--6,6+
DEMOCRACIA: EL JUEGO,EPR,1,2--6,10+
DESCUBRO LOS ANIMALES,X9,1,1+,1+
DESTROY BCN,F1,1,2--4,8+
DIAMANT,R9,1,3--8,8+
DICCIONPINTA,P0,1,3--16,12+
DICE FORGE,M5,1,2--4,10+
DIFFERENCES,Q2,1,2--6,6+
DINORACE,W6,1,2--4,6+
DIRECTOR DE CAMPAÑA 2008,C1,1,2,10+
DIXIT,J1,1,3--6,6+
